conid,start,end,open,high,low,close,volume,source
495512552,2023-05-15T04:00:00+00:00,2023-05-16T04:00:00+00:00,4132.25,4156.25,4123,4150,1179165,yahoo
495512552,2023-05-16T04:00:00+00:00,2023-05-17T04:00:00+00:00,4148.25,4151.5,4120,4123,1316691,yahoo
495512552,2023-05-17T04:00:00+00:00,2023-05-18T04:00:00+00:00,4126,4179,4122,4171.5,1584910,yahoo
495512552,2023-05-18T04:00:00+00:00,2023-05-19T04:00:00+00:00,4171.25,4215.75,4161.25,4212,1760668,yahoo
495512552,2023-05-19T04:00:00+00:00,2023-05-22T04:00:00+00:00,4215.5,4227.25,4191.5,4204.75,1713351,yahoo
495512552,2023-05-22T04:00:00+00:00,2023-05-23T04:00:00+00:00,4189,4221.75,4186.5,4205,1302845,yahoo
495512552,2023-05-23T04:00:00+00:00,2023-05-24T04:00:00+00:00,4207.5,4222.75,4153,4158.75,1685056,yahoo
495512552,2023-05-24T04:00:00+00:00,2023-05-25T04:00:00+00:00,4158,4166.25,4114,4126,1911903,yahoo
495512552,2023-05-25T04:00:00+00:00,2023-05-26T04:00:00+00:00,4157,4175.5,4131.5,4159.75,1966626,yahoo
495512552,2023-05-26T04:00:00+00:00,2023-05-30T04:00:00+00:00,4157,4221.25,4146,4213.25,1744425,yahoo
495512552,2023-05-30T04:00:00+00:00,2023-05-31T04:00:00+00:00,4239.75,4243.25,4200,4215,1957579,yahoo
495512552,2023-05-31T04:00:00+00:00,2023-06-01T04:00:00+00:00,4213,4217.75,4174,4190.5,2138566,yahoo
495512552,2023-06-01T04:00:00+00:00,2023-06-02T04:00:00+00:00,4188.5,4239.75,4178,4228,1868363,yahoo
495512552,2023-06-02T04:00:00+00:00,2023-06-05T04:00:00+00:00,4231.75,4297.75,4229,4288,1955603,yahoo
495512552,2023-06-05T04:00:00+00:00,2023-06-06T04:00:00+00:00,4288,4305.75,4273,4281,1668759,yahoo
495512552,2023-06-06T04:00:00+00:00,2023-06-07T04:00:00+00:00,4279.75,4294.75,4268.5,4289.75,1548125,yahoo
495512552,2023-06-07T04:00:00+00:00,2023-06-08T04:00:00+00:00,4292.25,4304.75,4269.25,4274.25,1925195,yahoo
495512552,2023-06-08T04:00:00+00:00,2023-06-09T04:00:00+00:00,4273.25,4302.5,4262.75,4298.25,1664333,yahoo
495512552,2023-06-09T04:00:00+00:00,2023-06-12T04:00:00+00:00,4297.75,4325.5,4284,4304.75,2176645,yahoo
495512552,2023-06-12T04:00:00+00:00,2023-06-13T04:00:00+00:00,4306.5,4346.5,4305.25,4342.75,1665175,yahoo
