conid,start,end,open,high,low,close,volume,source
12087792,2023-05-14T23:00:00+00:00,2023-05-15T23:00:00+00:00,1.08526969,1.08920598,1.084857583,1.08526969,0,yahoo
12087792,2023-05-15T23:00:00+00:00,2023-05-16T23:00:00+00:00,1.087370157,1.090358019,1.085670233,1.087370157,0,yahoo
12087792,2023-05-16T23:00:00+00:00,2023-05-17T23:00:00+00:00,1.086566806,1.087547541,1.08116293,1.086566806,0,yahoo
12087792,2023-05-17T23:00:00+00:00,2023-05-18T23:00:00+00:00,1.083834648,1.084951758,1.076542139,1.083834648,0,yahoo
12087792,2023-05-18T23:00:00+00:00,2023-05-21T23:00:00+00:00,1.077539682,1.08239162,1.076101899,1.077539682,0,yahoo
12087792,2023-05-21T23:00:00+00:00,2023-05-22T23:00:00+00:00,1.082274556,1.083071589,1.079657078,1.082274556,0,yahoo
12087792,2023-05-22T23:00:00+00:00,2023-05-23T23:00:00+00:00,1.081104517,1.082134008,1.076379895,1.081104517,0,yahoo
12087792,2023-05-23T23:00:00+00:00,2023-05-24T23:00:00+00:00,1.076971173,1.079936981,1.074968338,1.076971173,0,yahoo
12087792,2023-05-24T23:00:00+00:00,2023-05-25T23:00:00+00:00,1.075731516,1.075419188,1.070996404,1.075731516,0,yahoo
12087792,2023-05-25T23:00:00+00:00,2023-05-28T23:00:00+00:00,1.072443604,1.075754642,1.07020545,1.072443604,0,yahoo
12087792,2023-05-28T23:00:00+00:00,2023-05-29T23:00:00+00:00,1.07230556,1.074575543,1.070629478,1.07230556,0,yahoo
12087792,2023-05-29T23:00:00+00:00,2023-05-30T23:00:00+00:00,1.070766926,1.074575543,1.067338467,1.070766926,0,yahoo
12087792,2023-05-30T23:00:00+00:00,2023-05-31T23:00:00+00:00,1.073306918,1.073883176,1.06516695,1.073306918,0,yahoo
12087792,2023-05-31T23:00:00+00:00,2023-06-01T23:00:00+00:00,1.069518685,1.075399518,1.066416383,1.069518685,0,yahoo
12087792,2023-06-01T23:00:00+00:00,2023-06-04T23:00:00+00:00,1.076078773,1.077934742,1.071811318,1.076078773,0,yahoo
12087792,2023-06-04T23:00:00+00:00,2023-06-05T23:00:00+00:00,1.069862008,1.072270989,1.06747508,1.069862008,0,yahoo
12087792,2023-06-05T23:00:00+00:00,2023-06-06T23:00:00+00:00,1.071179867,1.073306918,1.06673491,1.071179867,0,yahoo
12087792,2023-06-06T23:00:00+00:00,2023-06-07T23:00:00+00:00,1.069804788,1.074021578,1.066882968,1.069804788,0,yahoo
12087792,2023-06-07T23:00:00+00:00,2023-06-08T23:00:00+00:00,1.070744038,1.078283429,1.070216894,1.070744038,0,yahoo
12087792,2023-06-08T23:00:00+00:00,2023-06-11T23:00:00+00:00,1.078271747,1.078748703,1.074771881,1.078271747,0,yahoo
12087792,2023-06-11T23:00:00+00:00,2023-06-12T23:00:00+00:00,1.075095415,1.078969717,1.073433518,1.075095415,0,yahoo
12087792,2023-06-12T23:00:00+00:00,2023-06-13T23:00:00+00:00,1.076298833,1.082251072,1.076055646,1.076298833,0,yahoo
12087792,2023-06-13T23:00:00+00:00,2023-06-14T23:00:00+00:00,1.078934908,1.085835338,1.077574611,1.078934908,0,yahoo
12087792,2023-06-14T23:00:00+00:00,2023-06-15T23:00:00+00:00,1.08430469,1.09385252,1.080426931,1.08430469,0,yahoo
12087792,2023-06-15T23:00:00+00:00,2023-06-18T23:00:00+00:00,1.094594836,1.0970999,1.092013001,1.094594836,0,yahoo
12087792,2023-06-18T23:00:00+00:00,2023-06-19T23:00:00+00:00,1.094211578,1.09493053,1.091100335,1.094211578,0,yahoo
12087792,2023-06-19T23:00:00+00:00,2023-06-20T23:00:00+00:00,1.092430472,1.094522953,1.089455128,1.092430472,0,yahoo
12087792,2023-06-20T23:00:00+00:00,2023-06-21T23:00:00+00:00,1.092036843,1.096130729,1.090667129,1.092036843,0,yahoo
12087792,2023-06-21T23:00:00+00:00,2023-06-22T23:00:00+00:00,1.099263549,1.101115465,1.095110297,1.099263549,0,yahoo
12087792,2023-06-22T23:00:00+00:00,2023-06-25T23:00:00+00:00,1.095890403,1.095890403,1.084504604,1.095890403,0,yahoo
12087792,2023-06-25T23:00:00+00:00,2023-06-26T23:00:00+00:00,1.090667129,1.092180014,1.088814616,1.090667129,0,yahoo
12087792,2023-06-26T23:00:00+00:00,2023-06-27T23:00:00+00:00,1.091048002,1.097610474,1.090322375,1.091048002,0,yahoo
12087792,2023-06-27T23:00:00+00:00,2023-06-28T23:00:00+00:00,1.095722318,1.096250892,1.089965701,1.095722318,0,yahoo
12087792,2023-06-28T23:00:00+00:00,2023-06-29T23:00:00+00:00,1.091583848,1.094067931,1.086236238,1.091583848,0,yahoo
12087792,2023-06-29T23:00:00+00:00,2023-07-02T23:00:00+00:00,1.086802959,1.093374133,1.083646655,1.086802959,0,yahoo
12087792,2023-07-02T23:00:00+00:00,2023-07-03T23:00:00+00:00,1.090750456,1.093135118,1.087181091,1.090750456,0,yahoo
12087792,2023-07-03T23:00:00+00:00,2023-07-04T23:00:00+00:00,1.091309905,1.091822267,1.089075446,1.091309905,0,yahoo
12087792,2023-07-04T23:00:00+00:00,2023-07-05T23:00:00+00:00,1.088494658,1.090619564,1.086507797,1.088494658,0,yahoo
