conid,start,end,open,high,low,close,volume,source
8314,2023-05-15T13:30:00+00:00,2023-05-16T13:30:00+00:00,123,123.6900024,122.3399963,123.3600006,2915700,yahoo
8314,2023-05-16T13:30:00+00:00,2023-05-17T13:30:00+00:00,123.3499985,123.8600006,122.4499969,123.4599991,2748400,yahoo
8314,2023-05-17T13:30:00+00:00,2023-05-18T13:30:00+00:00,123.9400024,125.8499985,123.4700012,125.7099991,4515100,yahoo
8314,2023-05-18T13:30:00+00:00,2023-05-19T13:30:00+00:00,125.3000031,126.5100021,125.1900024,126.1500015,3797900,yahoo
8314,2023-05-19T13:30:00+00:00,2023-05-22T13:30:00+00:00,126.7900009,128.2899933,126.5500031,127.2600021,4306700,yahoo
8314,2023-05-22T13:30:00+00:00,2023-05-23T13:30:00+00:00,127.5,128.1900024,127.1500015,127.5,2806800,yahoo
8314,2023-05-23T13:30:00+00:00,2023-05-24T13:30:00+00:00,127.2399979,129.0899963,127.1299973,128.1799927,4592300,yahoo
8314,2023-05-24T13:30:00+00:00,2023-05-25T13:30:00+00:00,127.8199997,127.9000015,125.4700012,125.6800003,3915500,yahoo
8314,2023-05-25T13:30:00+00:00,2023-05-26T13:30:00+00:00,125.6100006,127.2300034,125.0100021,126.7600021,4102900,yahoo
8314,2023-05-26T13:30:00+00:00,2023-05-30T13:30:00+00:00,127.0599976,129.6600037,126.8099976,128.8899994,5612600,yahoo
8314,2023-05-30T13:30:00+00:00,2023-05-31T13:30:00+00:00,129.5599976,130.0700073,128.2599945,129.4799957,3741100,yahoo
8314,2023-05-31T13:30:00+00:00,2023-06-01T13:30:00+00:00,128.5099945,129.4400024,127.4599991,128.5899963,11590200,yahoo
8314,2023-06-01T13:30:00+00:00,2023-06-02T13:30:00+00:00,128.4400024,130.1499939,127.7799988,129.8200073,4136100,yahoo
8314,2023-06-02T13:30:00+00:00,2023-06-05T13:30:00+00:00,130.3800049,133.1199951,130.1499939,132.4199982,5375800,yahoo
8314,2023-06-05T13:30:00+00:00,2023-06-06T13:30:00+00:00,133.1199951,133.5800018,132.2700043,132.6399994,3993500,yahoo
8314,2023-06-06T13:30:00+00:00,2023-06-07T13:30:00+00:00,132.4299927,132.9400024,131.8800049,132.6900024,3298000,yahoo
8314,2023-06-07T13:30:00+00:00,2023-06-08T13:30:00+00:00,132.5,134.4400024,132.1900024,134.3800049,5772000,yahoo
8314,2023-06-08T13:30:00+00:00,2023-06-09T13:30:00+00:00,134.6900024,135.9799957,134.0099945,134.4100037,4128500,yahoo
8314,2023-06-09T13:30:00+00:00,2023-06-12T13:30:00+00:00,134.3600006,136.1000061,134.1699982,135.3000031,3981500,yahoo
8314,2023-06-12T13:30:00+00:00,2023-06-13T13:30:00+00:00,136,136.6199951,135.8200073,136.4199982,4494500,yahoo
8314,2023-06-13T13:30:00+00:00,2023-06-14T13:30:00+00:00,136.5099945,138.1699982,136,137.6000061,3927300,yahoo
8314,2023-06-14T13:30:00+00:00,2023-06-15T13:30:00+00:00,137.8000031,138.9299927,136.9400024,137.1999969,4514900,yahoo
8314,2023-06-15T13:30:00+00:00,2023-06-16T13:30:00+00:00,137.2700043,138.8000031,137.1799927,138.3999939,3812600,yahoo
8314,2023-06-16T13:30:00+00:00,2023-06-20T13:30:00+00:00,139.2299957,139.4700012,137.4700012,137.4799957,7473700,yahoo
8314,2023-06-20T13:30:00+00:00,2023-06-21T13:30:00+00:00,136.3600006,137.2299957,135.8899994,135.9600067,4271300,yahoo
8314,2023-06-21T13:30:00+00:00,2023-06-22T13:30:00+00:00,135.1100006,135.3899994,133.2899933,133.6900024,5501300,yahoo
8314,2023-06-22T13:30:00+00:00,2023-06-23T13:30:00+00:00,131.6799927,132.9600067,130.6799927,131.1699982,6012800,yahoo
8314,2023-06-23T13:30:00+00:00,2023-06-26T13:30:00+00:00,130.3999939,130.6199951,129.1799927,129.4299927,11324700,yahoo
8314,2023-06-26T13:30:00+00:00,2023-06-27T13:30:00+00:00,129.3899994,131.4100037,129.3099976,131.3399963,4845600,yahoo
8314,2023-06-27T13:30:00+00:00,2023-06-28T13:30:00+00:00,131.3000031,132.9499969,130.8300018,132.3399963,3219900,yahoo
8314,2023-06-28T13:30:00+00:00,2023-06-29T13:30:00+00:00,132.0599976,132.1699982,130.9100037,131.7599945,2753800,yahoo
8314,2023-06-29T13:30:00+00:00,2023-06-30T13:30:00+00:00,131.75,134.3500061,131.6900024,134.0599976,3639800,yahoo
8314,2023-06-30T13:30:00+00:00,2023-07-03T13:30:00+00:00,134.6900024,135.0299988,133.4299927,133.8099976,4236700,yahoo
8314,2023-07-03T13:30:00+00:00,2023-07-05T13:30:00+00:00,133.4199982,134.3500061,132.8699951,133.6699982,1477100,yahoo
8314,2023-07-05T13:30:00+00:00,2023-07-06T13:30:00+00:00,133.3200073,134.3099976,132.5899963,134.2400055,2955100,yahoo
8314,2023-07-06T13:30:00+00:00,2023-07-07T13:30:00+00:00,133.2400055,133.8999939,131.5500031,132.1600037,3507700,yahoo
8314,2023-07-07T13:30:00+00:00,2023-07-10T13:30:00+00:00,131.7799988,133.8500061,131.75,132.0800018,2982700,yahoo
8314,2023-07-10T13:30:00+00:00,2023-07-11T13:30:00+00:00,131.7599945,133.0500031,131.6999969,132.8999939,2369200,yahoo
8314,2023-07-11T13:30:00+00:00,2023-07-12T13:30:00+00:00,133.6600037,134.5599976,133.2299957,134.4400024,2924000,yahoo
8314,2023-07-12T13:30:00+00:00,2023-07-13T13:30:00+00:00,135.0700073,135.3300018,132.5700073,132.8399963,3732200,yahoo
8314,2023-07-13T13:30:00+00:00,2023-07-14T13:30:00+00:00,133.5099945,135.0700073,133.3600006,133.9199982,3221400,yahoo
8314,2023-07-14T13:30:00+00:00,2023-07-17T13:30:00+00:00,133.9100037,133.9199982,132.9400024,133.3999939,2861500,yahoo
8314,2023-07-17T13:30:00+00:00,2023-07-18T13:30:00+00:00,133.2599945,134.6100006,133.1000061,134.2400055,3167400,yahoo
8314,2023-07-18T13:30:00+00:00,2023-07-19T13:30:00+00:00,134.7100067,135.9499969,134.2899933,135.3600006,3852100,yahoo
8314,2023-07-19T13:30:00+00:00,2023-07-20T13:30:00+00:00,135.5299988,136.4499969,135.1900024,135.4799957,5520000,yahoo
8314,2023-07-20T13:30:00+00:00,2023-07-21T13:30:00+00:00,137.1900024,140.3200073,136.5599976,138.3800049,10896300,yahoo
8314,2023-07-21T13:30:00+00:00,2023-07-24T13:30:00+00:00,138.2100067,139.7799988,137.7599945,138.9400024,5858600,yahoo
8314,2023-07-24T13:30:00+00:00,2023-07-25T13:30:00+00:00,139.3500061,140.1199951,138.7799988,139.5399933,3475200,yahoo
8314,2023-07-25T13:30:00+00:00,2023-07-26T13:30:00+00:00,139.4199982,140.4299927,139.0399933,140.3300018,3770800,yahoo
8314,2023-07-26T13:30:00+00:00,2023-07-27T13:30:00+00:00,140.4400024,141.25,139.8800049,141.0700073,4046400,yahoo
8314,2023-07-27T13:30:00+00:00,2023-07-28T13:30:00+00:00,142.3000031,143.3800049,141.8999939,142.9700012,6331600,yahoo
8314,2023-07-28T13:30:00+00:00,2023-07-31T13:30:00+00:00,143.4400024,143.9499969,142.8500061,143.4499969,6686400,yahoo
8314,2023-07-31T13:30:00+00:00,2023-08-01T13:30:00+00:00,143.8099976,144.6000061,143.5299988,144.1799927,6138100,yahoo
8314,2023-08-01T13:30:00+00:00,2023-08-02T13:30:00+00:00,144.25,144.4799957,142.1699982,143.3300018,4797700,yahoo
8314,2023-08-02T13:30:00+00:00,2023-08-03T13:30:00+00:00,142.7799988,144.3000031,142.3099976,144.1699982,4957400,yahoo
8314,2023-08-03T13:30:00+00:00,2023-08-04T13:30:00+00:00,143.7799988,145.2200012,143.3099976,144.4499969,3951900,yahoo
8314,2023-08-04T13:30:00+00:00,2023-08-07T13:30:00+00:00,145.0899963,146.0899963,143.9900055,144.2400055,4223100,yahoo
8314,2023-08-07T13:30:00+00:00,2023-08-08T13:30:00+00:00,145,146.5,144.9299927,146.1799927,3438700,yahoo
8314,2023-08-08T13:30:00+00:00,2023-08-09T13:30:00+00:00,145.6999969,146.1499939,144.1100006,145.9100037,4654600,yahoo
8314,2023-08-09T13:30:00+00:00,2023-08-10T13:30:00+00:00,144.9400024,144.9400024,142.3000031,142.4900055,4072900,yahoo
8314,2023-08-10T13:30:00+00:00,2023-08-11T13:30:00+00:00,143.0399933,144.5800018,142.6900024,143.25,4735800,yahoo
8314,2023-08-11T13:30:00+00:00,2023-08-14T13:30:00+00:00,143.1199951,143.4499969,142.2100067,143.1199951,2526400,yahoo
8314,2023-08-14T13:30:00+00:00,2023-08-15T13:30:00+00:00,143.0500031,143.3699951,141.8000031,141.9100037,4226400,yahoo
8314,2023-08-15T13:30:00+00:00,2023-08-16T13:30:00+00:00,141.5,142.3099976,141.1999969,141.8699951,3656600,yahoo
8314,2023-08-16T13:30:00+00:00,2023-08-17T13:30:00+00:00,141.6999969,142.0899963,140.5599976,140.6399994,3285300,yahoo
8314,2023-08-17T13:30:00+00:00,2023-08-18T13:30:00+00:00,141.0099945,142.6600037,140.6000061,140.6600037,3742100,yahoo
8314,2023-08-18T13:30:00+00:00,2023-08-21T13:30:00+00:00,140,141.8300018,139.7599945,141.4100037,3915500,yahoo
8314,2023-08-21T13:30:00+00:00,2023-08-22T13:30:00+00:00,141.4199982,142.3899994,141.1100006,142.2799988,2937800,yahoo
8314,2023-08-22T13:30:00+00:00,2023-08-23T13:30:00+00:00,142.6600037,143.2299957,141.3000031,141.4900055,3557500,yahoo
8314,2023-08-23T13:30:00+00:00,2023-08-24T13:30:00+00:00,141.7200012,143.4799957,141.5800018,143.4100037,2559100,yahoo
8314,2023-08-24T13:30:00+00:00,2023-08-25T13:30:00+00:00,143.5099945,144.4700012,143.2200012,143.5500031,2900200,yahoo
8314,2023-08-25T13:30:00+00:00,2023-08-28T13:30:00+00:00,144.1799927,145.4700012,143.5,145.3500061,3660100,yahoo
8314,2023-08-28T13:30:00+00:00,2023-08-29T13:30:00+00:00,145.4100037,146.7400055,145.2100067,146.0200043,3561100,yahoo
8314,2023-08-29T13:30:00+00:00,2023-08-30T13:30:00+00:00,146.3000031,146.7299957,145.6199951,146.4499969,2778100,yahoo
8314,2023-08-30T13:30:00+00:00,2023-08-31T13:30:00+00:00,146.4199982,146.9199982,145.75,146.8600006,2245400,yahoo
8314,2023-08-31T13:30:00+00:00,2023-09-01T13:30:00+00:00,146.9400024,147.7299957,146.5399933,146.8300018,3885900,yahoo
8314,2023-09-01T13:30:00+00:00,2023-09-05T13:30:00+00:00,147.2599945,148.1000061,146.9199982,147.9400024,2727800,yahoo
8314,2023-09-05T13:30:00+00:00,2023-09-06T13:30:00+00:00,147.9100037,149,147.5700073,148.1300049,3731300,yahoo
8314,2023-09-06T13:30:00+00:00,2023-09-07T13:30:00+00:00,147.6600037,148.3300018,147.1199951,148.0599976,2932200,yahoo
8314,2023-09-07T13:30:00+00:00,2023-09-08T13:30:00+00:00,148.1300049,148.7799988,147.3999939,147.5200043,3332900,yahoo
8314,2023-09-08T13:30:00+00:00,2023-09-11T13:30:00+00:00,147.3500061,148.5899963,147.2599945,147.6799927,3722800,yahoo
8314,2023-09-11T13:30:00+00:00,2023-09-12T13:30:00+00:00,148.5700073,148.7799988,147.5800018,148.3800049,3273600,yahoo
8314,2023-09-12T13:30:00+00:00,2023-09-13T13:30:00+00:00,147.9199982,148,145.8000031,146.3000031,4457700,yahoo
8314,2023-09-13T13:30:00+00:00,2023-09-14T13:30:00+00:00,145.9499969,146.9799957,145.9199982,146.5500031,2627800,yahoo
8314,2023-09-14T13:30:00+00:00,2023-09-15T13:30:00+00:00,147.3800049,147.7299957,146.4799957,147.3500061,2723100,yahoo
8314,2023-09-15T13:30:00+00:00,2023-09-18T13:30:00+00:00,147.1100006,147.8500061,145.5299988,145.9900055,6234000,yahoo
8314,2023-09-18T13:30:00+00:00,2023-09-19T13:30:00+00:00,145.7700043,146.4799957,145.0599976,145.0899963,2508100,yahoo
8314,2023-09-19T13:30:00+00:00,2023-09-20T13:30:00+00:00,145,146.7200012,144.6600037,146.5200043,3945400,yahoo
8314,2023-09-20T13:30:00+00:00,2023-09-21T13:30:00+00:00,148.3600006,151.9299927,148.1300049,149.8300018,9632400,yahoo
8314,2023-09-21T13:30:00+00:00,2023-09-22T13:30:00+00:00,149,149.25,147.3099976,147.3800049,4944600,yahoo
8314,2023-09-22T13:30:00+00:00,2023-09-25T13:30:00+00:00,147.4100037,148.1000061,146.8200073,146.9100037,2562000,yahoo
8314,2023-09-25T13:30:00+00:00,2023-09-26T13:30:00+00:00,146.5700073,147.4299927,146.25,146.4799957,2694200,yahoo
8314,2023-09-26T13:30:00+00:00,2023-09-27T13:30:00+00:00,145.5099945,146.1699982,143.0200043,143.2400055,4824700,yahoo
8314,2023-09-27T13:30:00+00:00,2023-09-28T13:30:00+00:00,143.6699982,143.8200073,141.7599945,143.1699982,4439800,yahoo
8314,2023-09-28T13:30:00+00:00,2023-09-29T13:30:00+00:00,142.1399994,142.2799988,140.2100067,141.5800018,5783200,yahoo
8314,2023-09-29T13:30:00+00:00,2023-10-02T13:30:00+00:00,142,142.1300049,139.6100006,140.3000031,5704000,yahoo
8314,2023-10-02T13:30:00+00:00,2023-10-03T13:30:00+00:00,140.0399933,141.4499969,139.8600006,140.8000031,3275300,yahoo
8314,2023-10-03T13:30:00+00:00,2023-10-04T13:30:00+00:00,140.8699951,141.6399994,140,140.3899994,3284400,yahoo
8314,2023-10-04T13:30:00+00:00,2023-10-05T13:30:00+00:00,140.3699951,141.1999969,139.9900055,141.0700073,2637600,yahoo
8314,2023-10-05T13:30:00+00:00,2023-10-06T13:30:00+00:00,140.8999939,141.6999969,140.1900024,141.5200043,3223900,yahoo
8314,2023-10-06T13:30:00+00:00,2023-10-09T13:30:00+00:00,141.3999939,142.9400024,140.1100006,142.0299988,3511100,yahoo
8314,2023-10-09T13:30:00+00:00,2023-10-10T13:30:00+00:00,142.3000031,142.3999939,140.6799927,142.1999969,2354400,yahoo
8314,2023-10-10T13:30:00+00:00,2023-10-11T13:30:00+00:00,142.6000061,143.4199982,141.7200012,142.1100006,3015800,yahoo
8314,2023-10-11T13:30:00+00:00,2023-10-12T13:30:00+00:00,142.5099945,143.3399963,142.1399994,143.2299957,2511500,yahoo
8314,2023-10-12T13:30:00+00:00,2023-10-13T13:30:00+00:00,142.5099945,142.9299927,140.9499969,141.2400055,3921100,yahoo
8314,2023-10-13T13:30:00+00:00,2023-10-16T13:30:00+00:00,139.7700043,140.1199951,138.2700043,138.4600067,4582800,yahoo
8314,2023-10-16T13:30:00+00:00,2023-10-17T13:30:00+00:00,139.2799988,139.7799988,138.5200043,139.2100067,3361500,yahoo
8314,2023-10-17T13:30:00+00:00,2023-10-18T13:30:00+00:00,137.1199951,140.6199951,136.3099976,140.3200073,4172800,yahoo
8314,2023-10-18T13:30:00+00:00,2023-10-19T13:30:00+00:00,140,140.4299927,139.5800018,139.9700012,3330000,yahoo
8314,2023-10-19T13:30:00+00:00,2023-10-20T13:30:00+00:00,138.6399994,139.4100037,137.9299927,138.0099945,5314200,yahoo
8314,2023-10-20T13:30:00+00:00,2023-10-23T13:30:00+00:00,138.1499939,139.2700043,137.1199951,137.1600037,4865600,yahoo
8314,2023-10-23T13:30:00+00:00,2023-10-24T13:30:00+00:00,136.6300049,137.6799927,135.8699951,136.3800049,3457500,yahoo
8314,2023-10-24T13:30:00+00:00,2023-10-25T13:30:00+00:00,136.7400055,137.9799957,136.0500031,137.7899933,3698000,yahoo
8314,2023-10-25T13:30:00+00:00,2023-10-26T13:30:00+00:00,137.5,138.4900055,136.3300018,137.0800018,6472500,yahoo
8314,2023-10-26T13:30:00+00:00,2023-10-27T13:30:00+00:00,142.1999969,144.4100037,141.5800018,143.7599945,11130200,yahoo
8314,2023-10-27T13:30:00+00:00,2023-10-30T13:30:00+00:00,143.6199951,144.6999969,141.7100067,142.5200043,5469200,yahoo
8314,2023-10-30T13:30:00+00:00,2023-10-31T13:30:00+00:00,143.1900024,144.5,142.5800018,142.6300049,4204100,yahoo
8314,2023-10-31T13:30:00+00:00,2023-11-01T13:30:00+00:00,143,144.7599945,142.5899963,144.6399994,6591800,yahoo
8314,2023-11-01T13:30:00+00:00,2023-11-02T13:30:00+00:00,145,146.5099945,144.4499969,145.3999939,4750100,yahoo
8314,2023-11-02T13:30:00+00:00,2023-11-03T13:30:00+00:00,145.7700043,147.1000061,144.8399963,147.0099945,3902700,yahoo
8314,2023-11-03T13:30:00+00:00,2023-11-06T14:30:00+00:00,147.4499969,148.4499969,147.2799988,147.8999939,3510500,yahoo
8314,2023-11-06T14:30:00+00:00,2023-11-07T14:30:00+00:00,147.8899994,149.2299957,147.8500061,148.9700012,4597200,yahoo
